Company ID (Seller),Company Name,Address,City,Province,Region,Latitude,Longitude
702,ADOLFO SARTORI S.A.,AV. SANTA CATALINA 5235 Y FRANCIA,POSADAS,MISIONES,NEA,-27.39534,-55.91241
706,ADOLFO SARTORI S.A.,CRUCE RUTA NAC 12 Y PROV 103,SANTA ANA,MISIONES,NEA,-27.37801,-55.57585
10426,ALVAREZ NATALIA LUJAN,SAN MARTIN 609,GDOR. CASTRO,BUENOS AIRES,PAMPEANA,-33.657144,-59.87083
701,ADOLFO SARTORI S.A.,RUTA NAC. 14 Y PROGRESIVA 851,L.N. ALEM,MISIONES,NEA,-27.61489,-55.31413
5893,ADROGUE DENAK BAT S.A.,ESPORA 1491,ADROGUE,BUENOS AIRES,PAMPEANA,-34.80892,-58.3883
1572,ADROGUE DENAK BAT S.A.,ESPORA 1498,ADROGUE,BUENOS AIRES,PAMPEANA,-34.80916,-58.38886
4324,AFAMIA SA,AV ROCA 2998,SAN MIGUEL DE TUCUMAN,TUCUMAN,CUYO,-26.83588,-65.24645
5141,A.F.A. S.C.L.,Ruta Provincial N°14 Km 62,BIGAND,SANTA FE,CENTRO,-33.372033,-61.173275
5911,AFLOVAC S.A.,RUTA PCIAL 27 KM 76,BELLA VISTA,CORRIENTES,NEA,-28.7584,-59.0117
7079,AGAF S.A.,Av. Fuerza Aerea 4510,CORDOBA,CORDOBA,CENTRO,-31.43237,-64.24583
2461,AGENTES ROMERO S.A.,CABRAL Y SARMIENTO,SALADILLO,BUENOS AIRES,PAMPEANA,-35.64414,-59.77326
2457,AGENTES ROMERO S.A.,RUTA 51 Y 63,SALADILLO,BUENOS AIRES,PAMPEANA,-35.6913,-59.78962
2465,AGENTES ROMERO S.A.,SAN MARTÍN Y VIALE,SALADILLO,BUENOS AIRES,PAMPEANA,-35.645456,-59.78616
2444,AGENTES ROMERO S.A.,SGTO. CABRAL 605,NORBERTO DE LA RIESTRA,BUENOS AIRES,PAMPEANA,-35.27361,-59.77315
8515,AG GAN S.R.L.,AV. URUGUAY Y AV. KENNEDY,VILLA ANGELA,CHACO,NEA,-27.573709,-60.722588
723,AGLP SA,BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,PAMPEANA,-34.66918,-58.66367
6499,AGORQUIMICOS EL DIAMANTE S.R.L.,AV. ALBERDI Nº1200,SAN RAFAEL,MENDOZA,CUYO,-34.631909,-68.318004
4983,AGRICULTORES FEDERADOS ARGENTINOS,13 DE JUNIO 586,CAÑADA RICA,SANTA FE,CENTRO,-33.51851,-60.61109
4970,AGRICULTORES FEDERADOS ARGENTINOS MACIEL,BV. SARMIENTO 108,MACIEL,SANTA FE,CENTRO,-32.461856,-60.888111
5031,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,25 DE MAYO 850,VILLA ELOISA,SANTA FE,CENTRO,-32.96021,-61.55083
4890,AGRICULTORES FEDERADOS ARGENTINOS SCL,AVDA.SARMIENTO 299,MAGIOLO,SANTA FE,CENTRO,-33.722488,-62.252236
8939,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,AV. LAS HERAS 219 0,SANFORD,SANTA FE,CENTRO,-33.146556,-61.281567
5030,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,AV. LAS ROSAS 549,LAS ROSAS,SANTA FE,CENTRO,-32.480764,-61.567777
7211,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,Bv. Colon 1031,CASILDA,SANTA FE,CENTRO,-33.04862,-61.14762
5072,AGRICULTORES FEDERADOS ARGENTINOS SCL,BV. COLÓN 605,FIRMAT,SANTA FE,CENTRO,-33.462995,-61.486016
5003,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,CORRIENTES Y LIBERTAD,SERODINO,SANTA FE,CENTRO,-32.606886,-60.95351
7425,AGRICULTORES FEDERADOS ARGENTINOS SCL CP CHOVET,AV. ESTANISLAO LOPEZ 464,CHOVET,SANTA FE,CENTRO,-33.602278,-61.606323
4976,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,CRUCE RUTAS 31 Y 45,ROJAS,BUENOS AIRES,PAMPEANA,-34.178714,-60.725064
5101,AGRICULTORES FEDERADOS ARGENTINOS SCL,ITUZAINGO S/N,ARTEAGA,SANTA FE,CENTRO,-33.090043,-61.78566
5067,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,MARCONI Nº 5,CAÑADA DE GOMEZ,SANTA FE,CENTRO,-32.82304,-61.381786
4982,AGRICULTORES FEDERADOS ARGENTINOS SCL,MITRE 438,J. B. MOLINA,SANTA FE,CENTRO,-33.496324,-60.513611
